ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
20,2023.25,3,0,576.6589041096179,0,0,0,0
20,2023.25,4,0,1293.261643835716,0,0,0,0
20,2023.25,5,0,579.6130136986826,0,0,0,0
20,2023.25,6,0,425.636986301369,0,0,0,0
20,2023.25,7,0,0,0,0,0,0
20,2023.5,0,19,29194.818493150684,6.508004153016925e-4,1.4930385487970418e-4,4.1511192185966094e-4,0.0010203059903927407
20,2023.5,1,0,2.0075342465750055,0,0,0,0
20,2023.5,2,0,7.4753424657506,0,0,0,0
20,2023.5,3,0,37.04589041094937,0,0,0,0
20,2023.5,4,0,104.07671232875691,0,0,0,0
20,2023.5,5,0,479.33835616437887,0,0,0,0
20,2023.5,6,2,1030.984246575374,0.0019398938506028688,0.0013717120965433718,4.851505442315613e-4,0.0077567431312839325
20,2023.5,7,0,7.982876712323105,0,0,0,0
20,2023.75,0,16,29129.629452054793,5.492689162536315e-4,1.3731722906340786e-4,3.364966356020443e-4,8.965805611181159e-4
20,2023.75,1,0,2.8143835616428987,0,0,0,0
20,2023.75,2,0,5.772602739725244,0,0,0,0
20,2023.75,3,0,27.939041095889934,0,0,0,0
20,2023.75,4,0,203.29726027396782,0,0,0,0
20,2023.75,5,1,2352.8602739725866,4.250146135161663e-4,4.250146135161663e-4,5.986688732825543e-5,0.003017317748822406
20,2023.75,6,1,833.4390410959018,0.001199847800128351,0.001199847800128351,1.690086664716693e-4,0.00851811196151985
20,2023.75,7,1,689.6472602739823,0.0014500166354648044,0.0014500166354648042,2.0424705358081888e-4,0.010294142345082644
20,2024,0,16,28608.035519131317,5.592834219357764e-4,1.398208554839441e-4,3.4263178610763605e-4,9.129274011779162e-4
20,2024,1,1,1.7459016393445381,0.5727699530515526,0.5727699530515526,0.08067947113786278,4.066281229807382
20,2024,2,0,5.054644808745252,0,0,0,0
20,2024,3,0,21.937158469947008,0,0,0,0
20,2024,4,0,138.3114754098458,0,0,0,0
20,2024,5,1,1264.0437158471573,7.911118796471401e-4,7.911118796471401e-4,1.11434770138976e-4,0.005616361978745881
20,2024,6,0,421.3688524590041,0,0,0,0
20,2024,7,3,389.1885245901299,0.007708346496494009,0.0044504159247577245,0.002486055144273076,0.023900759340310416
50,2021,0,122,46120.64863016472,0.0026452359978347572,2.394884145224957e-4,0.0022151280743906068,0.0031588572982019715
50,2021,1,0,106.56095890413826,0,0,0,0
50,2021,2,0,7.223972602742833,0,0,0,0
50,2021,3,0,0,0,0,0,0
50,2021,4,0,0,0,0,0,0
50,2021,5,0,0,0,0,0,0
50,2021,6,0,0,0,0,0,0
50,2021,7,0,0,0,0,0,0
50,2021.25,0,176,66768.329452055,0.0026359802835322107,1.9869448989206788e-4,0.0022739412923289772,0.0030556602664328185
50,2021.25,1,0,1242.2130136984997,0,0,0,0
50,2021.25,2,1,1845.293835616474,5.419191137469556e-4,5.419191137469556e-4,7.633387062932825e-5,0.0038472610313494563
50,2021.25,3,0,0,0,0,0,0
50,2021.25,4,0,0,0,0,0,0
50,2021.25,5,0,0,0,0,0,0
50,2021.25,6,0,0,0,0,0,0
50,2021.25,7,0,0,0,0,0,0
50,2021.5,0,164,32673.218493151173,0.005019401441409178,3.919494027669815e-4,0.004307080968453541,0.00584952802479276
50,2021.5,1,10,12787.663698630347,7.820036744531429e-4,2.47291274989276e-4,4.2075596832198074e-4,0.0014534071834965579
50,2021.5,2,27,21499.932191780706,0.001255817914175652,2.41682270267489e-4,8.612115594206604e-4,0.0018312325424723627
50,2021.5,3,0,0.1623287671234266,0,0,0,0
50,2021.5,4,0,0,0,0,0,0
50,2021.5,5,0,0,0,0,0,0
50,2021.5,6,0,0,0,0,0,0
50,2021.5,7,0,0,0,0,0,0
50,2021.75,0,67,9760.19794520541,0.006864614875245745,8.386461850288001e-4,0.005402856671658999,0.008721855908677216
50,2021.75,1,9,1543.0472602738516,0.005832614613762853,0.0019442048712542846,0.003034759084453243,0.01120991560976217
50,2021.75,2,45,34327.48698630114,0.0013109028347445845,0.00019541785669240428,9.787652385494265e-4,0.001755749156649893
50,2021.75,3,0,86.48424657539226,0,0,0,0
50,2021.75,4,0,0,0,0,0,0
50,2021.75,5,0,0,0,0,0,0
50,2021.75,6,0,0,0,0,0,0
50,2021.75,7,0,0,0,0,0,0
