ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
65,2021,5,0,0,0,0,0,0
65,2021,6,0,0,0,0,0,0
65,2021,7,0,0,0,0,0,0
65,2021.25,0,1514,74883.22123287716,0.020218147337594562,5.196110994702255e-4,0.019224934863501613,0.02126267187207669
65,2021.25,1,94,9223.681506850167,0.0101911584794194,0.0010511377379663629,0.008325823620599764,0.012474406843747211
65,2021.25,2,30,4677.296575341598,0.006413961466150776,0.0011710237926598958,0.004484520999475372,0.009173533069435897
65,2021.25,3,0,0.13424657534255857,0,0,0,0
65,2021.25,4,0,0,0,0,0,0
65,2021.25,5,0,0,0,0,0,0
65,2021.25,6,0,0,0,0,0,0
65,2021.25,7,0,0,0,0,0,0
65,2021.5,0,727,14321.265753424239,0.05076366939327085,0.001882720283923133,0.04720446818430874,0.05459123319020697
65,2021.5,1,165,9730.752054794622,0.016956551669477564,0.0013200657571308594,0.014556949307924547,0.019751710227028055
65,2021.5,2,748,64359.63767123329,0.011622190973494746,4.2494938834279796e-4,0.010818434617252858,0.012485662464416921
65,2021.5,3,0,0.5,0,0,0,0
65,2021.5,4,0,0,0,0,0,0
65,2021.5,5,0,0,0,0,0,0
65,2021.5,6,0,0,0,0,0,0
65,2021.5,7,0,0,0,0,0,0
65,2021.75,0,354,6816.613698630115,0.05193194387282659,0.0027601516756051276,0.04679429365490058,0.057633668205353324
65,2021.75,1,70,638.6232876712322,0.10961078518645642,0.013100994634645927,0.08671882317747714,0.13854574807366551
65,2021.75,2,1368,81330.2006849315,0.01682031998543263,4.5476936865184147e-4,0.015952177616073766,0.01773570801564199
65,2021.75,3,1,28.642465753453052,0.03491319527472745,0.03491319527472745,0.004917817555706196,0.2478601921449712
65,2021.75,4,0,0,0,0,0,0
65,2021.75,5,0,0,0,0,0,0
65,2021.75,6,0,0,0,0,0,0
65,2021.75,7,0,0,0,0,0,0
65,2022,0,356,6390.507534246573,0.0557076254260252,0.0029524982425887555,0.05021115670108267,0.06180577653450897
65,2022,1,39,262.0308219178155,0.1488374524590551,0.02383306647932092,0.10874477315858504,0.20371174274459933
65,2022,2,1492,47963.182191780244,0.03110719372276541,8.053347185599288e-4,0.029568116197441836,0.03272638320426293
65,2022,3,353,32919.84246575315,0.01072301607661791,5.707285582426949e-4,0.009660758768475811,0.011902074830251373
65,2022,4,0,0,0,0,0,0
65,2022,5,0,0,0,0,0,0
65,2022,6,0,0,0,0,0,0
65,2022,7,0,0,0,0,0,0
65,2022.25,0,233,6134.877397260274,0.03797956909522815,0.0024881242988312245,0.033402959053060254,0.04318323015538523
65,2022.25,1,16,219.74315068493365,0.07281228083846263,0.018203070209615656,0.04460672506241042,0.11885266702456874
65,2022.25,2,427,4953.643835616336,0.08619917260298395,0.004171470336886017,0.07839887133575545,0.09477556539835383
65,2022.25,3,1019,76313.48219178127,0.013352817493495837,4.1829803177901133e-4,0.01255761588303185,0.014198374649723795
65,2022.25,4,2,136.5589041093467,0.014645694567075183,0.010356069943565839,0.0036627605616964985,0.05856139535714184
65,2022.25,5,0,0,0,0,0,0
65,2022.25,6,0,0,0,0,0,0
65,2022.25,7,0,0,0,0,0,0
65,2022.5,0,266,5987.063698630136,0.04442912475791127,0.0027241244207960856,0.0393981912096459,0.050102481006050865
65,2022.5,1,32,206.754109589044,0.15477322343727526,0.027360298959649507,0.1094511847186052,0.21886241574041865
65,2022.5,2,220,3366.639041095889,0.065347070866375645,0.004405698619048619,0.0572581187026012,0.07457876310946844
65,2022.5,3,1033,33822.78698630014,0.030541539951110912,9.502563278713481e-4,0.02873469064881102,0.032462004689230946
65,2022.5,4,364,43307.36369863093,0.008405037132553675,4.4054364890703444e-4,0.007584443721056284,0.009314414055638542
65,2022.5,5,0,0,0,0,0,0
65,2022.5,6,0,0,0,0,0,0
65,2022.5,7,0,0,0,0,0,0
65,2022.75,0,248,5854.7102739726015,0.042359055938685136,0.002689802741910593,0.03740192259574257,0.047973192164749816
65,2022.75,1,8,194.09109589041145,0.041217758925515026,0.014572678420772011,0.020612641647865856,0.0824204718572678
65,2022.75,2,169,2875.469178082193,0.05877301738727567,0.004521001337482743,0.05054750720722596,0.06833705089835188
65,2022.75,3,559,9163.740410958875,0.061001291495718764,0.0025800797245193684,0.056148269914655095,0.0662737706754238
65,2022.75,4,1099,54519.362328766765,0.020157976048449124,6.080623010333628e-4,0.019000721268677852,0.021385714395994793
65,2022.75,5,124,13730.876712329456,0.009030741634192657,8.109845393674713e-4,0.007573242400242912,0.010768742125687781
65,2022.75,6,0,0,0,0,0,0
65,2022.75,7,0,0,0,0,0,0
65,2023,0,262,5736.718493150689,0.04567070884039593,0.0028215458150097988,0.04046218942534407,0.051549698017026746
65,2023,1,25,185.64931506849348,0.1346624952038013,0.02693249904076026,0.09099200200541162,0.1992921049636353
65,2023,2,147,2644.9424657534237,0.0555777684782744,0.004583977084555774,0.04728178841458505,0.06532934672309984
65,2023,3,354,6755.810273972613,0.05239934007084508,0.002784993503253471,0.04721545013994997,0.05815238087790431
65,2023,4,786,15292.673287671449,0.05139716158283801,0.0018332760407792149,0.04792666662709374,0.05511896413173413
65,2023,5,696,55535.81369862967,0.012532453450253014,4.750414220940244e-4,0.011635118105170407,0.013498993999292823
65,2023,6,0,0.17054794520549876,0,0,0,0
65,2023,7,0,0,0,0,0,0
65,2023.25,0,215,5659.888356164382,0.03798661501261522,0.002590665641424769,0.03323365178764317,0.04341933078365976
65,2023.25,1,11,179.99315068493092,0.061113436584345114,0.018426394436313786,0.03384426354188488,0.11035406713833804
65,2023.25,2,116,2573.0863013698618,0.045082047943065036,0.0041857630692507634,0.03758115341644422,0.05408006040207139
65,2023.25,3,218,6403.923972602737,0.03404162837233038,0.002305589998163666,0.02980976991079969,0.03887425047920343
65,2023.25,4,443,11539.160958904084,0.038391006207272226,0.0018240117504910993,0.034977353476317925,0.04213781807719458
65,2023.25,5,869,46531.16575342401,0.018675655035271806,6.335282056370605e-4,0.01747431974134271,0.01995958046774719
65,2023.25,6,59,12470.221232877037,0.004731271314132729,6.159590599417514e-4,0.003665715999463575,0.006106563697572571
65,2023.25,7,0,0,0,0,0,0
65,2023.5,0,226,5568.145890410961,0.04058801698949736,0.00269987472926349,0.035626709178360645,0.04624022709738048
65,2023.5,1,10,177.08630136986335,0.05646964176587521,0.017857268663393846,0.030383410689996553,0.10495268203105872
65,2023.5,2,100,2517.6643835616433,0.03971935284659897,0.003971935284659897,0.0326497939934042,0.04831966140035482
65,2023.5,3,205,6207.949315068494,0.033022176824544225,0.0023063688726521732,0.028797455218644612,0.03786668488420657
65,2023.5,4,330,9626.223287671237,0.034281357302676195,0.0018871266104798221,0.03077514053394766,0.038187037918393583
65,2023.5,5,634,18529.727397260296,0.034215290187903126,0.0013588627659871146,0.03165294146446483,0.036985064530469965
65,2023.5,6,489,42125.776712329294,0.0116080945721027,5.249361819131489e-4,0.0106234986244826,0.012683943807771984
65,2023.5,7,0,386.25410958886687,0,0,0,0
65,2023.75,0,225,5480.397945205479,0.041055412809363784,0.0027370275206242524,0.03602654469831606,0.04678624983500171
65,2023.75,1,13,176.51232876712288,0.07364924643394867,0.020426625724375792,0.04276447432749221,0.12683919504656255
65,2023.75,2,90,2480.287671232878,0.03628611351975299,0.003824892205261623,0.029513063031258304,0.04461353377566597
65,2023.75,3,202,6076.563013698628,0.03324247597607787,0.0023389324477524104,0.02896022498465074,0.03815792900800356
65,2023.75,4,303,8920.824657534235,0.03396546974433537,0.0019512652533561366,0.03034844725248094,0.03801358024533041
65,2023.75,5,524,14232.42465753422,0.03681733876051893,0.001608372911526453,0.03379611647271341,0.04010864486460266
65,2023.75,6,578,19213.598630136723,0.030082860120404575,0.0012512820228602608,0.027727655979704134,0.03263811674835575
65,2023.75,7,280,27795.11027397309,0.010073714305864354,6.02019577031512e-4,0.008960240638966216,0.01132555742698048
65,2024,0,275,5306.505464481914,0.05182318228835535,0.003125055474412113,0.046046195225291645,0.05832495408908339
65,2024,1,12,169.90437158473173,0.07062796494330088,0.020388537286165107,0.04010988875489588,0.1243660749725529
65,2024,2,102,2407.2978142081215,0.04237115964546863,0.004195369961603318,0.034896935430365913,0.051446212899817524
65,2024,3,176,5887.915300547604,0.029891734343330513,0.002253174253404724,0.025786250924284222,0.03465086044015712
65,2024,4,283,8385.322404373219,0.03374944770786706,0.0020061964263278875,0.03003772664725743,0.037919821095716996
65,2024,5,423,12411.431693991468,0.03408148313822487,0.0016570984160642693,0.03098352957361942,0.03748919212516358
65,2024,6,431,10586.5382513681,0.04071208073557962,0.00196103192555355,0.03704431854637968,0.0447429884759572
65,2024,7,727,37640.31693989816,0.01931439634689662,7.16331309549767e-4,0.01796020301040466,0.020770695410786914
